goal	rule	score
located_in(S2, R12)	located_in(emberfall_hold, western_realm)	0
located_in(S2, R12)	located_in(stonegate_keep, northern_realm)	0
parent(darian_stoneward, Z12)	parent(darian_stoneward, aelric_solaris)	0
resident_of(kellan_riverwyn, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
lives_in(mira_riverwyn, S4)	lives_in(mira_riverwyn, sunspire_keep)	0
serves(X8, L18)	serves(aelric_solaris, kellan_riverwyn)	0
lives_in(X8, S8)	lives_in(toren_emberfall, rivermeet_hall)	0
parent(vessa_lunaris, Z4)	parent(vessa_lunaris, isolde_thornvale)	0
ancestor(kellan_riverwyn, R1)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
serves(X11, L111)	serves(darian_stoneward, mira_riverwyn)	0
located_in(rivermeet_hall, R12)	located_in(rivermeet_hall, western_realm)	0
lives_in(X2, S2)	lives_in(darius_solaris, granite_bay)	0
lives_in(X3, S3)	lives_in(kellan_riverwyn, sunspire_keep)	0
lives_in(X2, S2)	lives_in(sylvi_emberfall, sunspire_keep)	0
lives_in(isolde_thornvale, S4)	lives_in(isolde_thornvale, emberfall_hold)	0
parent(Z8, Z9)	parent(Z8, rowan_thornvale)	0
seat_of(house_stoneward, S2)	seat_of(house_stoneward, rivermeet_hall)	0
serves(X9, L19)	serves(maris_riverwyn, wren_thornvale)	0
parent(rhea_riverwyn, Z12)	parent(rhea_riverwyn, theron_lunaris)	0
serves(X2, L12)	serves(toren_emberfall, kellan_riverwyn)	0
parent(caelan_solaris, Z11)	parent(caelan_solaris, maeve_solaris)	0
lives_in(X3, S3)	lives_in(vessa_lunaris, mistharbor)	0
parent(toren_emberfall, Z3)	parent(toren_emberfall, tessa_stoneward)	0
parent(garrick_emberfall, tessa_stoneward)	parent(garrick_emberfall, tessa_stoneward)	0
parent(faye_thornvale, Z4)	parent(faye_thornvale, alina_riverwyn)	0
parent(mira_riverwyn, Z11)	parent(mira_riverwyn, theron_lunaris)	0
resident_of(tessa_stoneward, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
resident_of(selene_lunaris, riverlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
parent(briar_thornvale, Z12)	parent(briar_thornvale, darian_stoneward)	0
parent(maeve_solaris, theron_lunaris)	parent(maeve_solaris, theron_lunaris)	0
located_in(S0, R10)	located_in(sunspire_keep, stonecoast)	0
parent(leon_lunaris, Z10)	parent(leon_lunaris, toren_emberfall)	0
lives_in(X8, S8)	lives_in(garrick_emberfall, ashport)	0
parent(Z1, tessa_stoneward)	parent(Z1, tessa_stoneward)	0
member_of_house(X2, house_stoneward)	member_of_house(nyra_lunaris, house_stoneward)	0
lives_in(X7, S7)	lives_in(darius_solaris, mistharbor)	0
parent(owen_stoneward, Z4)	parent(owen_stoneward, evan_riverwyn)	0
serves(L111, L112)	serves(L111, pyr_emberfall)	0
located_in(S4, R14)	located_in(moonwatch_castle, western_realm)	0
serves(X3, L13)	serves(L12, ren_emberfall)	0
parent(iris_lunaris, Z12)	parent(iris_lunaris, maeve_solaris)	0
lives_in(X8, S8)	lives_in(faye_thornvale, rivermeet_hall)	0
parent(darius_solaris, Z2)	parent(darius_solaris, aelric_solaris)	0
parent(rhea_riverwyn, Z10)	parent(rhea_riverwyn, orion_solaris)	0
parent(liora_solaris, Z10)	parent(liora_solaris, isolde_thornvale)	0
parent(seris_solaris, Z11)	parent(seris_solaris, corin_riverwyn)	0
serves(selene_lunaris, L112)	serves(selene_lunaris, kellan_riverwyn)	0
serves(X12, L112)	serves(maris_riverwyn, caelan_solaris)	0
serves(lyra_thornvale, L111)	serves(lyra_thornvale, iris_lunaris)	0
parent(kara_stoneward, Z11)	parent(kara_stoneward, orion_solaris)	0
lives_in(bram_stoneward, S4)	lives_in(bram_stoneward, thornvale_manor)	0
parent(mira_riverwyn, elara_solaris)	parent(mira_riverwyn, elara_solaris)	0
serves(toren_emberfall, L19)	serves(toren_emberfall, ash_thornvale)	0
lives_in(seris_solaris, S3)	lives_in(seris_solaris, reedcross)	0
part_of(R15, stonecoast)	part_of(sunreach, stonecoast)	0
member_of_house(X2, house_stoneward)	member_of_house(ash_thornvale, house_stoneward)	0
parent(vessa_lunaris, Z4)	parent(vessa_lunaris, cedric_thornvale)	0
lives_in(X4, S4)	lives_in(riverlands, reedcross)	0
lives_in(owen_stoneward, S2)	lives_in(owen_stoneward, moonwatch_castle)	0
serves(X13, L113)	serves(selene_lunaris, ren_emberfall)	0
serves(X2, L12)	serves(aelric_solaris, darius_solaris)	0
serves(X9, L19)	serves(lyra_thornvale, liora_solaris)	0
member_of_house(corin_riverwyn, Z)	member_of_house(corin_riverwyn, central_realm)	0
parent(ren_emberfall, Z4)	parent(ren_emberfall, brom_emberfall)	0
serves(lyra_thornvale, L112)	serves(lyra_thornvale, rhea_riverwyn)	0
located_in(S5, R5)	located_in(granite_bay, northern_realm)	0
ancestor(pyr_emberfall, L3)	ancestor(X, Y) :- parent(X, Y)	0
lives_in(X8, S8)	lives_in(owen_stoneward, moonwatch_castle)	0
parent(nash_stoneward, Z12)	parent(nash_stoneward, rowan_thornvale)	0
serves(selene_lunaris, L112)	serves(selene_lunaris, kara_stoneward)	0
serves(L113, L213)	serves(lyra_thornvale, Z)	0
parent(nella_riverwyn, galen_stoneward)	parent(nella_riverwyn, galen_stoneward)	0
located_in(S2, R12)	located_in(rivermeet_hall, cinderlands)	0
part_of(R19, stonecoast)	part_of(sunreach, stonecoast)	0
parent(cedric_thornvale, Z2)	parent(cedric_thornvale, corin_riverwyn)	0
parent(nella_riverwyn, Z4)	parent(nella_riverwyn, isolde_thornvale)	0
lives_in(X4, S4)	lives_in(cedric_thornvale, stonegate_keep)	0
located_in(S2, R12)	located_in(stonegate_keep, thornwood)	0
serves(X12, L112)	serves(lyra_thornvale, darius_solaris)	0
parent(myra_emberfall, Z10)	parent(myra_emberfall, maris_riverwyn)	0
parent(liora_solaris, Z4)	parent(liora_solaris, galen_stoneward)	0
serves(selene_lunaris, L12)	serves(selene_lunaris, briar_thornvale)	0
parent(rhea_riverwyn, Z3)	parent(rhea_riverwyn, nyra_lunaris)	0
lives_in(X3, S3)	lives_in(theron_lunaris, mistharbor)	0
lives_in(X7, S7)	lives_in(talia_lunaris, reedcross)	0
serves(L112, L212)	serves(maris_riverwyn, maris_riverwyn)	0
lives_in(darian_stoneward, S1)	lives_in(darian_stoneward, reedcross)	0
serves(maris_riverwyn, L12)	serves(maris_riverwyn, seris_solaris)	0
lives_in(X7, S7)	lives_in(rowan_thornvale, sunspire_keep)	0
serves(selene_lunaris, L15)	serves(selene_lunaris, rhea_riverwyn)	0
parent(owen_stoneward, Z11)	parent(owen_stoneward, nyra_lunaris)	0
parent(ren_emberfall, Z4)	parent(ren_emberfall, nyra_lunaris)	0
parent(maeve_solaris, Z2)	parent(maeve_solaris, aelric_solaris)	0
serves(X2, L12)	serves(selene_lunaris, briar_thornvale)	0
member_of_house(talia_lunaris, house_emberfall)	member_of_house(talia_lunaris, house_emberfall)	0
lives_in(X7, S7)	lives_in(lyra_thornvale, granite_bay)	0
serves(X12, L112)	serves(darian_stoneward, nella_riverwyn)	0
located_in(S4, R4)	located_in(ashport, stonecoast)	0
parent(nash_stoneward, Z12)	parent(nash_stoneward, alina_riverwyn)	0
located_in(S1, R11)	located_in(reedcross, western_realm)	0
member_of_house(X5, house_solaris)	member_of_house(rowan_thornvale, house_solaris)	0
lives_in(talia_lunaris, S7)	lives_in(talia_lunaris, stonegate_keep)	0
parent(darian_stoneward, Z12)	parent(darian_stoneward, galen_stoneward)	0
located_in(S7, R7)	located_in(moonwatch_castle, thornwood)	0
serves(X12, L112)	serves(darian_stoneward, petra_stoneward)	0
parent(liora_solaris, Z11)	parent(liora_solaris, selene_lunaris)	0
ancestor(leon_lunaris, S)	ancestor(X, Y) :- parent(X, Y)	0
parent(pyr_emberfall, Z10)	parent(pyr_emberfall, lyra_thornvale)	0
parent(pyr_emberfall, Z3)	parent(pyr_emberfall, alina_riverwyn)	0
parent(Z1, rowan_thornvale)	parent(Z1, rowan_thornvale)	0
road(moonfen, B3)	road(moonfen, stonecoast)	0
serves(X13, L113)	serves(darian_stoneward, liora_solaris)	0
serves(X8, L18)	serves(L17, mira_riverwyn)	0
parent(vessa_lunaris, Z10)	parent(vessa_lunaris, alina_riverwyn)	0
lives_in(X4, S4)	lives_in(caelan_solaris, thornvale_manor)	0
overlord(B, A)	overlord(A, B) :- sworn_to(A, B)	0
located_in(S5, R5)	located_in(granite_bay, thornwood)	0
ancestor(briar_thornvale, S)	ancestor(X, Y) :- parent(X, Y)	0
serves(X2, L12)	serves(aelric_solaris, evan_riverwyn)	0
parent(wren_thornvale, Z11)	parent(wren_thornvale, cedric_thornvale)	0
lives_in(pyr_emberfall, S3)	lives_in(pyr_emberfall, granite_bay)	0
seat_of(H2, S2)	seat_of(house_riverwyn, goldmarket)	0
lives_in(X4, S4)	lives_in(briar_thornvale, emberfall_hold)	0
lives_in(cedric_thornvale, S2)	lives_in(cedric_thornvale, emberfall_hold)	0
serves(X2, L12)	serves(darian_stoneward, briar_thornvale)	0
parent(myra_emberfall, Z10)	parent(myra_emberfall, nyra_lunaris)	0
lives_in(X7, S7)	lives_in(rhea_riverwyn, mistharbor)	0
parent(liora_solaris, Z2)	parent(liora_solaris, evan_riverwyn)	0
serves(X11, L111)	serves(lyra_thornvale, caelan_solaris)	0
lives_in(X4, S4)	lives_in(leon_lunaris, goldmarket)	0
parent(B, Z1)	parent(B, rowan_thornvale)	0
located_in(S3, R3)	located_in(goldmarket, riverlands)	0
lives_in(rhea_riverwyn, S4)	lives_in(rhea_riverwyn, stonegate_keep)	0
lives_in(X3, S3)	lives_in(kara_stoneward, stonegate_keep)	0
parent(vessa_lunaris, Z4)	parent(vessa_lunaris, toren_emberfall)	0
ancestor(A, B)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
connected_region(moonfen, moonfen)	connected_region(A, C) :- road(A, B), connected_region(B, C)	0
serves(X9, L19)	serves(darian_stoneward, pyr_emberfall)	0
part_of(R17, R7)	part_of(R17, cinderlands)	0
lives_in(X3, S3)	lives_in(kellan_riverwyn, emberfall_hold)	0
resident_of(darian_stoneward, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
located_in(S7, R7)	located_in(granite_bay, thornwood)	0
seat_of(house_lunaris, S2)	seat_of(house_lunaris, sunspire_keep)	0
serves(X13, L113)	serves(toren_emberfall, caelan_solaris)	0
lives_in(X8, S8)	lives_in(alina_riverwyn, granite_bay)	0
lives_in(X4, S4)	lives_in(toren_emberfall, moonwatch_castle)	0
serves(X2, L12)	serves(darian_stoneward, faye_thornvale)	0
ancestor(kellan_riverwyn, A)	ancestor(X, Y) :- parent(X, Y)	0
parent(nash_stoneward, Z7)	parent(nash_stoneward, maeve_solaris)	0
serves(X2, L12)	serves(selene_lunaris, iris_lunaris)	0
serves(L13, L14)	serves(L13, iris_lunaris)	0
serves(lyra_thornvale, L12)	serves(lyra_thornvale, sylvi_emberfall)	0
lives_in(X5, S5)	lives_in(southern_realm, emberfall_hold)	0
lives_in(iris_lunaris, S4)	lives_in(iris_lunaris, ashport)	0
parent(leon_lunaris, Z10)	parent(leon_lunaris, lyra_thornvale)	0
lives_in(X8, S8)	lives_in(orion_solaris, moonwatch_castle)	0
lives_in(X8, S8)	lives_in(liora_solaris, moonwatch_castle)	0
lives_in(X4, S4)	lives_in(wren_thornvale, ashport)	0
lives_in(wren_thornvale, S2)	lives_in(wren_thornvale, goldmarket)	0
serves(aelric_solaris, L18)	serves(aelric_solaris, sylvi_emberfall)	0
lives_in(X8, S8)	lives_in(elara_solaris, greenhollow)	0
serves(selene_lunaris, L112)	serves(selene_lunaris, wren_thornvale)	0
parent(C, Z1)	parent(C, isolde_thornvale)	0
located_in(S5, R5)	located_in(ashport, central_realm)	0
parent(darius_solaris, Z11)	parent(darius_solaris, nyra_lunaris)	0
parent(iris_lunaris, Z12)	parent(iris_lunaris, rowan_thornvale)	0
lives_in(X2, S2)	lives_in(darius_solaris, greenhollow)	0
serves(lyra_thornvale, L112)	serves(lyra_thornvale, leon_lunaris)	0
parent(kara_stoneward, Z12)	parent(kara_stoneward, kaela_emberfall)	0
located_in(S7, R17)	located_in(greenhollow, riverlands)	0
parent(liora_solaris, Z2)	parent(liora_solaris, elara_solaris)	0
parent(vessa_lunaris, corin_riverwyn)	parent(vessa_lunaris, corin_riverwyn)	0
lives_in(X8, S8)	lives_in(nella_riverwyn, moonwatch_castle)	0
parent(kellan_riverwyn, Z4)	parent(kellan_riverwyn, isolde_thornvale)	0
parent(bram_stoneward, Z11)	parent(bram_stoneward, maris_riverwyn)	0
parent(cedric_thornvale, Z10)	parent(cedric_thornvale, kaela_emberfall)	0
parent(darius_solaris, Z3)	parent(darius_solaris, kaela_emberfall)	0
lives_in(X8, S8)	lives_in(brom_emberfall, goldmarket)	0
ancestor(evan_riverwyn, R2)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
part_of(R15, R5)	part_of(sunreach, stonecoast)	0
lives_in(aelric_solaris, S2)	lives_in(aelric_solaris, ashport)	0
located_in(S4, R14)	located_in(reedcross, central_realm)	0
serves(X12, L112)	serves(L111, liora_solaris)	0
seat_of(H2, S2)	seat_of(house_solaris, rivermeet_hall)	0
located_in(S5, R5)	located_in(greenhollow, moonfen)	0
parent(leon_lunaris, Z3)	parent(leon_lunaris, nyra_lunaris)	0
parent(owen_stoneward, Z3)	parent(owen_stoneward, rowan_thornvale)	0
parent(kara_stoneward, Z10)	parent(kara_stoneward, myra_emberfall)	0
serves(X11, L111)	serves(L110, cedric_thornvale)	0
parent(maris_riverwyn, Z4)	parent(maris_riverwyn, lyra_thornvale)	0
part_of(R15, southern_realm)	part_of(moonfen, southern_realm)	0
parent(nash_stoneward, Z11)	parent(nash_stoneward, selene_lunaris)	0
parent(faye_thornvale, Z10)	parent(faye_thornvale, cedric_thornvale)	0
lives_in(X4, S4)	lives_in(nyra_lunaris, reedcross)	0
parent(leon_lunaris, Z3)	parent(leon_lunaris, galen_stoneward)	0
located_in(S3, R3)	located_in(emberfall_hold, riverlands)	0
serves(X13, L113)	serves(toren_emberfall, pyr_emberfall)	0
lives_in(X8, S8)	lives_in(darian_stoneward, reedcross)	0
lives_in(X4, S4)	lives_in(cinderlands, thornvale_manor)	0
adult(wren_thornvale)	adult(X) :- age_group(X, elder)	0
serves(X9, L19)	serves(lyra_thornvale, garrick_emberfall)	0
parent(owen_stoneward, Z2)	parent(owen_stoneward, evan_riverwyn)	0
parent(cedric_thornvale, Z12)	parent(cedric_thornvale, maeve_solaris)	0
parent(myra_emberfall, Z11)	parent(myra_emberfall, maeve_solaris)	0
parent(liora_solaris, Z12)	parent(liora_solaris, orion_solaris)	0
resident_of(selene_lunaris, cinderlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
parent(caelan_solaris, Z8)	parent(caelan_solaris, kaela_emberfall)	0
parent(kellan_riverwyn, rowan_thornvale)	parent(kellan_riverwyn, rowan_thornvale)	0
parent(darian_stoneward, Z4)	parent(darian_stoneward, maris_riverwyn)	0
parent(maeve_solaris, Z2)	parent(maeve_solaris, brom_emberfall)	0
ancestor(caelan_solaris, C)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
connected_region(eastern_realm, H)	connected_region(A, C) :- road(A, B), connected_region(B, C)	0
road(western_realm, riverlands)	road(western_realm, riverlands)	0
parent(nella_riverwyn, Z10)	parent(nella_riverwyn, selene_lunaris)	0
parent(leon_lunaris, elara_solaris)	parent(leon_lunaris, elara_solaris)	0
lives_in(X2, S2)	lives_in(iris_lunaris, granite_bay)	0
resident_of(nella_riverwyn, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
serves(selene_lunaris, L112)	serves(selene_lunaris, caelan_solaris)	0
member_of_house(X5, house_thornvale)	member_of_house(nash_stoneward, house_thornvale)	0
serves(L11, L12)	serves(L11, mira_riverwyn)	0
fealty_chain(aelric_solaris, maris_riverwyn)	fealty_chain(X, L3) :- serves(X, L1), fealty_chain(L1, L3)	0
serves(L10, L20)	serves(lyra_thornvale, Z)	0
serves(selene_lunaris, L111)	serves(selene_lunaris, sylvi_emberfall)	0
lives_in(X4, S4)	lives_in(isolde_thornvale, granite_bay)	0
parent(nella_riverwyn, Z2)	parent(nella_riverwyn, evan_riverwyn)	0
serves(X8, L18)	serves(darian_stoneward, nella_riverwyn)	0
parent(leon_lunaris, corin_riverwyn)	parent(leon_lunaris, corin_riverwyn)	0
lives_in(X8, S8)	lives_in(nash_stoneward, emberfall_hold)	0
parent(Z8, orion_solaris)	parent(Z8, orion_solaris)	0
parent(briar_thornvale, Z10)	parent(briar_thornvale, theron_lunaris)	0
parent(Z1, corin_riverwyn)	parent(Z1, corin_riverwyn)	0
parent(darian_stoneward, Z3)	parent(darian_stoneward, orion_solaris)	0
lives_in(X3, S3)	lives_in(alina_riverwyn, sunspire_keep)	0
located_in(S2, R12)	located_in(sunspire_keep, moonfen)	0
parent(caelan_solaris, Z3)	parent(caelan_solaris, evan_riverwyn)	0
located_in(S7, R17)	located_in(ashport, riverlands)	0
serves(toren_emberfall, L112)	serves(toren_emberfall, kara_stoneward)	0
ancestor(rhea_riverwyn, B)	ancestor(X, Y) :- parent(X, Y)	0
parent(iris_lunaris, Z11)	parent(iris_lunaris, galen_stoneward)	0
parent(pyr_emberfall, Z11)	parent(pyr_emberfall, tessa_stoneward)	0
serves(X11, L111)	serves(toren_emberfall, ren_emberfall)	0
parent(sylvi_emberfall, kaela_emberfall)	parent(sylvi_emberfall, kaela_emberfall)	0
located_in(rivermeet_hall, R12)	located_in(rivermeet_hall, thornwood)	0
serves(X2, L12)	serves(selene_lunaris, maeve_solaris)	0
lives_in(H, S1)	lives_in(central_realm, reedcross)	0
parent(nash_stoneward, Z12)	parent(nash_stoneward, evan_riverwyn)	0
parent(leon_lunaris, isolde_thornvale)	parent(leon_lunaris, isolde_thornvale)	0
serves(X13, L113)	serves(maris_riverwyn, petra_stoneward)	0
located_in(S2, R12)	located_in(moonwatch_castle, central_realm)	0
parent(aelric_solaris, Z12)	parent(aelric_solaris, galen_stoneward)	0
located_in(S4, R4)	located_in(granite_bay, riverlands)	0
serves(X8, L18)	serves(toren_emberfall, myra_emberfall)	0
serves(toren_emberfall, L19)	serves(toren_emberfall, mira_riverwyn)	0
serves(X12, L112)	serves(lyra_thornvale, liora_solaris)	0
lives_in(X4, S4)	lives_in(isolde_thornvale, reedcross)	0
part_of(R14, R4)	part_of(riverlands, sunreach)	0
lives_in(X4, S4)	lives_in(evan_riverwyn, emberfall_hold)	0
lives_in(nash_stoneward, S4)	lives_in(nash_stoneward, stonegate_keep)	0
parent(nella_riverwyn, Z10)	parent(nella_riverwyn, maeve_solaris)	0
parent(talia_lunaris, Z2)	parent(talia_lunaris, tessa_stoneward)	0
lives_in(X8, S8)	lives_in(corin_riverwyn, stonegate_keep)	0
serves(aelric_solaris, L18)	serves(aelric_solaris, mira_riverwyn)	0
parent(toren_emberfall, Z10)	parent(toren_emberfall, selene_lunaris)	0
serves(X9, L19)	serves(L18, faye_thornvale)	0
seat_of(H2, S2)	seat_of(house_emberfall, mistharbor)	0
seat_of(H2, S2)	seat_of(house_emberfall, granite_bay)	0
parent(nella_riverwyn, Z12)	parent(nella_riverwyn, theron_lunaris)	0
lives_in(X4, S4)	lives_in(stonecoast, mistharbor)	0
located_in(S4, R14)	located_in(greenhollow, central_realm)	0
member_of_house(X5, house_emberfall)	member_of_house(caelan_solaris, house_emberfall)	0
ancestor(faye_thornvale, S)	ancestor(X, Y) :- parent(X, Y)	0
member_of_house(X4, house_stoneward)	member_of_house(myra_emberfall, house_stoneward)	0
serves(X10, L110)	serves(L19, nash_stoneward)	0
parent(briar_thornvale, kaela_emberfall)	parent(briar_thornvale, kaela_emberfall)	0
adult(garrick_emberfall)	adult(X) :- age_group(X, elder)	0
parent(Z6, isolde_thornvale)	parent(Z6, isolde_thornvale)	0
serves(selene_lunaris, L19)	serves(selene_lunaris, nash_stoneward)	0
lives_in(X7, S7)	lives_in(petra_stoneward, reedcross)	0
parent(garrick_emberfall, Z3)	parent(garrick_emberfall, petra_stoneward)	0
ancestor(vessa_lunaris, S)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
located_in(S3, R3)	located_in(rivermeet_hall, thornwood)	0
serves(X11, L111)	serves(aelric_solaris, cedric_thornvale)	0
parent(liora_solaris, Z3)	parent(liora_solaris, evan_riverwyn)	0
adult(nella_riverwyn)	adult(X) :- age_group(X, elder)	0
serves(aelric_solaris, L19)	serves(aelric_solaris, sylvi_emberfall)	0
resident_of(southern_realm, southern_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
parent(seris_solaris, Z10)	parent(seris_solaris, petra_stoneward)	0
parent(ash_thornvale, Z10)	parent(ash_thornvale, cassian_lunaris)	0
lives_in(X8, S8)	lives_in(faye_thornvale, reedcross)	0
ancestor(nella_riverwyn, A)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
lives_in(faye_thornvale, S3)	lives_in(faye_thornvale, goldmarket)	0
located_in(S1, R1)	located_in(thornvale_manor, rowan_thornvale)	0
serves(selene_lunaris, L12)	serves(selene_lunaris, garrick_emberfall)	0
ancestor(faye_thornvale, C)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
resident_of(vessa_lunaris, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
parent(cedric_thornvale, Z3)	parent(cedric_thornvale, orion_solaris)	0
lives_in(X3, S3)	lives_in(pyr_emberfall, emberfall_hold)	0
connected_region(riverlands, A)	connected_region(A, B) :- road(A, B)	0
serves(darian_stoneward, L111)	serves(darian_stoneward, maeve_solaris)	0
parent(lyra_thornvale, Z4)	parent(lyra_thornvale, isolde_thornvale)	0
ancestor(ash_thornvale, A)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
located_in(S4, R14)	located_in(thornvale_manor, sunreach)	0
parent(cassian_lunaris, Z11)	parent(cassian_lunaris, orion_solaris)	0
lives_in(X2, S2)	lives_in(bram_stoneward, goldmarket)	0
road(sunreach, B3)	road(sunreach, sunreach)	0
parent(kara_stoneward, Z10)	parent(kara_stoneward, tessa_stoneward)	0
serves(X11, L111)	serves(toren_emberfall, darius_solaris)	0
serves(X2, L12)	serves(selene_lunaris, garrick_emberfall)	0
part_of(R17, sunreach)	part_of(sunreach, sunreach)	0
serves(X2, L12)	serves(aelric_solaris, nella_riverwyn)	0
lives_in(X8, S8)	lives_in(maeve_solaris, thornvale_manor)	0
lives_in(aelric_solaris, S3)	lives_in(aelric_solaris, emberfall_hold)	0
parent(faye_thornvale, Z2)	parent(faye_thornvale, rowan_thornvale)	0
parent(bram_stoneward, Z4)	parent(bram_stoneward, kaela_emberfall)	0
serves(aelric_solaris, L18)	serves(aelric_solaris, garrick_emberfall)	0
serves(X11, L111)	serves(darian_stoneward, garrick_emberfall)	0
parent(kara_stoneward, Z11)	parent(kara_stoneward, maris_riverwyn)	0
member_of_house(X5, house_emberfall)	member_of_house(alina_riverwyn, house_emberfall)	0
located_in(S7, R7)	located_in(thornvale_manor, moonfen)	0
located_in(S0, R10)	located_in(granite_bay, central_realm)	0
lives_in(X8, S8)	lives_in(orion_solaris, thornvale_manor)	0
serves(X13, L113)	serves(maris_riverwyn, kara_stoneward)	0
parent(caelan_solaris, Z10)	parent(caelan_solaris, corin_riverwyn)	0
lives_in(corin_riverwyn, S3)	lives_in(corin_riverwyn, sunspire_keep)	0
connected_region(riverlands, B)	connected_region(A, B) :- road(A, B)	0
parent(wren_thornvale, Z4)	parent(wren_thornvale, rowan_thornvale)	0
serves(X13, L113)	serves(selene_lunaris, mira_riverwyn)	0
serves(X2, L12)	serves(aelric_solaris, liora_solaris)	0
parent(iris_lunaris, Z4)	parent(iris_lunaris, galen_stoneward)	0
lives_in(X4, S4)	lives_in(riverlands, sunspire_keep)	0
lives_in(seris_solaris, S3)	lives_in(seris_solaris, rivermeet_hall)	0
parent(nash_stoneward, Z7)	parent(nash_stoneward, orion_solaris)	0
parent(toren_emberfall, Z12)	parent(toren_emberfall, maris_riverwyn)	0
parent(Z1, Z2)	parent(Z1, theron_lunaris)	0
parent(bram_stoneward, Z12)	parent(bram_stoneward, kaela_emberfall)	0
resident_of(liora_solaris, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
serves(X11, L111)	serves(maris_riverwyn, mira_riverwyn)	0
parent(aelric_solaris, Z11)	parent(aelric_solaris, kaela_emberfall)	0
parent(nash_stoneward, Z7)	parent(nash_stoneward, cassian_lunaris)	0
part_of(R13, stonecoast)	part_of(stonecoast, stonecoast)	0
parent(rhea_riverwyn, Z12)	parent(rhea_riverwyn, galen_stoneward)	0
member_of_house(X4, house_stoneward)	member_of_house(caelan_solaris, house_stoneward)	0
parent(myra_emberfall, Z4)	parent(myra_emberfall, isolde_thornvale)	0
located_in(S0, R10)	located_in(mistharbor, eastern_realm)	0
member_of_house(X0, Z)	member_of_house(rowan_thornvale, thornwood)	0
parent(toren_emberfall, corin_riverwyn)	parent(toren_emberfall, corin_riverwyn)	0
located_in(S3, R13)	located_in(goldmarket, riverlands)	0
serves(X13, L113)	serves(maris_riverwyn, rhea_riverwyn)	0
parent(garrick_emberfall, Z12)	parent(garrick_emberfall, toren_emberfall)	0
part_of(R17, R7)	part_of(sunreach, moonfen)	0
parent(kellan_riverwyn, Z12)	parent(kellan_riverwyn, kaela_emberfall)	0
parent(kara_stoneward, Z12)	parent(kara_stoneward, toren_emberfall)	0
serves(X5, L15)	serves(maris_riverwyn, talia_lunaris)	0
parent(faye_thornvale, Z10)	parent(faye_thornvale, myra_emberfall)	0
parent(ren_emberfall, Z12)	parent(ren_emberfall, lyra_thornvale)	0
lives_in(X2, S2)	lives_in(maris_riverwyn, thornvale_manor)	0
serves(X12, L112)	serves(lyra_thornvale, rhea_riverwyn)	0
parent(aelric_solaris, Z12)	parent(aelric_solaris, orion_solaris)	0
serves(L111, L112)	serves(L111, cassian_lunaris)	0
overlord(house_lunaris, A)	overlord(A, B) :- sworn_to(A, B)	0
member_of_house(X2, house_stoneward)	member_of_house(faye_thornvale, house_stoneward)	0
parent(Z0, Z1)	parent(Z0, brom_emberfall)	0
serves(X11, L111)	serves(aelric_solaris, ash_thornvale)	0
lives_in(X4, S4)	lives_in(cassian_lunaris, sunspire_keep)	0
parent(kellan_riverwyn, Z4)	parent(kellan_riverwyn, corin_riverwyn)	0
parent(darius_solaris, Z2)	parent(darius_solaris, selene_lunaris)	0
serves(X11, L111)	serves(toren_emberfall, evan_riverwyn)	0
sworn_to(house_riverwyn, house_stoneward)	sworn_to(house_riverwyn, house_stoneward)	0
parent(kara_stoneward, Z11)	parent(kara_stoneward, lyra_thornvale)	0
lives_in(X8, S8)	lives_in(darius_solaris, stonegate_keep)	0
located_in(S1, R11)	located_in(sunspire_keep, moonfen)	0
parent(petra_stoneward, Z2)	parent(petra_stoneward, theron_lunaris)	0
located_in(S1, R11)	located_in(reedcross, cinderlands)	0
serves(L15, L25)	serves(maris_riverwyn, A)	0
lives_in(X7, S7)	lives_in(darian_stoneward, goldmarket)	0
part_of(R19, moonfen)	part_of(cinderlands, moonfen)	0
parent(ash_thornvale, Z11)	parent(ash_thornvale, lyra_thornvale)	0
located_in(S4, R4)	located_in(reedcross, moonfen)	0
serves(X9, L19)	serves(selene_lunaris, caelan_solaris)	0
located_in(S5, R5)	located_in(stonegate_keep, southern_realm)	0
